X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,salmonella,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
0.9483417475931297,0.7362025962668213,0.0012945542418227323,2014/05/19 12:35:00+01,22,2010,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7499999999999998e-05,0.0,0.0,0.0,0.0,0.8012891188194385,33,8,8.305785123966942e-05,0.0
0.6946552214451813,0.5652815424973028,0.0013808578579442479,2014/05/19 12:52:00+01,24,24000,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0,0.0,0.0,0.0,0.8014587397167331,25,10,0.0009917355371900827,0.0
0.45745896758193894,0.8344104578662268,0.0014671614740657635,2014/06/25 11:15:00+01,28,36000,0,0.0,0.0,0.0,0.0,16.3,7.99,0.021484602250742085,4.81,0.1718585929296465,0.0,0.03391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0007999999999999999,0.0,0.0,0.0,0.0,0.8022220337545585,1,15,0.0014876033057851239,0.0
0.4995985456212644,0.09163763217338783,0.0015534650901872786,2014/07/11 10:55:00+01,33,2000,0,0.0,0.0,0.0,0.0,16.7,7.89,0.018941085107707128,3.85,0.13860693034651733,0.0,0.029565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.000325,0.0,0.0,0.0,0.0,0.8028157068950894,12,12,8.264462809917355e-05,0.0
0.9483417475931297,0.7362025962668213,0.0016397687063087942,2014/07/14 12:50:00+01,22,2000,0,0.0,0.0,0.0,0.0,16.1,8.34,0.020294019758257637,9.22,0.3286664333216661,0.0,0.03217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.8040878636247986,33,8,8.264462809917355e-05,0.0
0.6946552214451813,0.5652815424973028,0.0017260723224303098,2014/07/14 12:32:00+01,24,31000,0,0.0,0.0,0.0,0.0,14.5,8.12,0.025462230123360585,9.3,0.32026601330066506,0.0,0.0408695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.8042574845220931,25,10,0.0012809917355371902,0.0
0.6946552214451813,0.5652815424973028,0.0018123759385518254,2014/08/26 11:11:00+01,24,201000,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050249999999999996,0.0,0.0,0.0,0.0,0.805784072597744,25,10,0.008305785123966942,0.0
0.8399805690888513,0.6465987759209497,0.0018986795546733406,2014/08/26 12:00:00+01,20,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8058688830463913,17,8,0.0,0.0
0.9132390348330546,0.501904329799288,0.001984983170794856,2014/10/01 17:00:00+01,17,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.20756037801890095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8088372487490458,36,14,0.0,0.0
0.9132390348330546,0.501904329799288,0.0020712867869163718,2014/10/01 17:04:00+01,17,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.19985999299965002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8089220591976931,36,14,0.0,0.0
0.9132390348330546,0.501904329799288,0.0021575904030378874,2014/10/02 09:50:00+01,17,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.12320616030801541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8090916800949877,36,14,0.0,0.0
0.9132390348330546,0.501904329799288,0.0022438940191594025,2014/10/07 17:30:00+01,17,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.22051102555127758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8096005427868713,36,14,0.0,0.0
0.9132390348330546,0.501904329799288,0.002330197635280918,2014/10/15 17:05:00+01,17,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.21456072803640183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8103638368246968,36,14,0.0,0.0
0.8630550154115646,0.11696361833736546,0.0024165012514024337,2014/10/16 11:59:00+01,40,0,0,0.0,0.0,0.0,0.0,13.0,7.94,0.014557576839923479,10.49,0.34791739586979353,0.1,0.022608695652173914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109575099652276,23,2,0.0,0.0
0.8630550154115646,0.11696361833736546,0.002502804867523949,2014/12/18 11:05:00+00,40,0,0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,9.35,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8121448562462895,23,2,0.0,0.0
0.9137517433251077,0.2946034539197626,0.0025891084836454645,2015/01/20 11:01:00+00,42,8000,0,0.0,0.0,0.0,0.0,5.7,8.12,0.018048148238343793,13.9,0.3888694434721736,0.1,0.028695652173913046,0.0,0.0,0.0,0.0,0.0,0.0,0.0003625,0.0,0.0,0.0,0.0,0.8128233398354677,0,2,0.0003305785123966942,0.0
0.6630402826263726,0.4816334683923742,0.00267541209976698,2015/01/20 11:33:00+00,23,0,0,0.0,0.0,0.0,0.0,5.1,8.12,0.017777561308233693,13.85,0.3815190759537977,0.08,0.02782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8129929607327623,42,8,0.0,0.0
